,"$P_{LH,norm}$",$B_T$,$B_P$,$I_P$,"$n_{e,line}$",$M_{eff}$
"$P_{LH,norm}$",1.0,0.29172859962028,0.5420847726308411,0.5448903937299483,0.6570366389808199,-0.7806477354138261
$B_T$,0.29172859962028,1.0,0.3068953099979941,0.29284360026353123,0.028030353625512008,-0.12339850128811763
$B_P$,0.5420847726308411,0.3068953099979941,1.0,0.9956369136324268,0.49749315849355813,-0.13378504494172128
$I_P$,0.5448903937299483,0.29284360026353123,0.9956369136324268,1.0,0.5048780452009335,-0.12555895302439368
"$n_{e,line}$",0.6570366389808199,0.028030353625512008,0.49749315849355813,0.5048780452009335,1.0,-0.35864617915948666
$M_{eff}$,-0.7806477354138261,-0.12339850128811763,-0.13378504494172128,-0.12555895302439368,-0.35864617915948666,1.0
