,"$P_{LH,norm}$",$B_T$,$B_P$,$I_P$,"$n_{e,line}$"
"$P_{LH,norm}$",1.0,-0.10615453582827114,0.6374385324237148,0.6322191139278166,0.7446866506189209
$B_T$,-0.10615453582827114,1.0,0.39743578488442943,0.37981266892573856,-0.01592377226019326
$B_P$,0.6374385324237148,0.39743578488442943,1.0,0.9938489635404332,0.5642193633215492
$I_P$,0.6322191139278166,0.37981266892573856,0.9938489635404332,1.0,0.539047607888253
"$n_{e,line}$",0.7446866506189209,-0.01592377226019326,0.5642193633215492,0.539047607888253,1.0
