,"$P_{LH,norm}$",$B_T$,$B_P$,$I_P$,"$n_{e,line}$",$M_{eff}$
"$P_{LH,norm}$",1.0,0.28657423391854714,0.4422501135451316,0.4339419299685785,0.45930063463798265,-0.5534507763986846
$B_T$,0.28657423391854714,1.0,0.8558132200861297,0.8583669381110689,0.5150786699120904,0.3172012364077338
$B_P$,0.4422501135451316,0.8558132200861297,1.0,0.9985776765218135,0.5728336094696118,0.22159070216022692
$I_P$,0.4339419299685785,0.8583669381110689,0.9985776765218135,1.0,0.5794650407715891,0.23197652956895987
"$n_{e,line}$",0.45930063463798265,0.5150786699120904,0.5728336094696118,0.5794650407715891,1.0,0.210306323613597
$M_{eff}$,-0.5534507763986846,0.3172012364077338,0.22159070216022692,0.23197652956895987,0.210306323613597,1.0
